sheet,sheet_state,cell,names,formula,status,implemented_in
Income Details,visible,BK7,,calculateAge(sheet1.DOB),TO_IMPLEMENT,
Income Details,visible,BK8,,"IF(BK7<=59,1,0)",TO_IMPLEMENT,
Income Details,visible,BL8,,"IF(BK7>=80,1,0)",TO_IMPLEMENT,
Income Details,visible,BK9,,"IF(BK7<=59,1,0)",TO_IMPLEMENT,
Income Details,visible,BI17,TOTAL_INCOME,"MAX(IncD.GrossTotIncome,0)",TO_IMPLEMENT,
Income Details,visible,BK17,,"IF( OR(MID(SELECT80D,1,1) =""("", MID(SELECT80D,1,1)=""""),0,MID(SELECT80D,1,1))",TO_IMPLEMENT,
Income Details,visible,BG18,,"IF(AND(INT(MID(sheet1.DOB,4,2))=4,INT(MID(sheet1.DOB,1,2))=1),BK18,BK18)",TO_IMPLEMENT,
Income Details,visible,BI18,IncdSection80D,"MIN(MIN(IF(INT(MID(sheet1.DOB,7,4))<1960,IF(MID(sheet1.ResidentialStatus1,1,3)=""NRI"",BK18,BK18),IF(INT(MID(sheet1.DOB,7,4))=1960, IF(INT(MID(sheet1.DOB,4,2))<4,IF(MID(sheet1.ResidentialStatus1,1,3)=""NRI"",BK18,BK18),BG18),BK18)),VALUE(IncD.Section80D)),TOTAL_INCOME)",TO_IMPLEMENT,
Income Details,visible,BK18,,"IF(OR(BK17=""1"",BK17=""3""),25000,IF(OR(BK17=""2"",BK17=""4""),IF(AND(BK17=""2"",BK8=1),50000,50000),IF(BK17=""5"",50000,IF(BK17=""6"",75000,IF(BK17=""7"",IF(BK9=1,75000,100000),0)))))",TO_IMPLEMENT,
Income Details,visible,BG19,,"IF(AND(INT(MID(sheet1.DOB,4,2))=4,INT(MID(sheet1.DOB,1,2))=1),BI21,BI21)",TO_IMPLEMENT,
Income Details,visible,BI19,IncdSection80DB,"MIN(MIN(IF(INT(MID(sheet1.DOB,7,4))<1960,IF(MID(sheet1.ResidentialStatus1,1,3)=""NRI"",BI21,BI21),IF(INT(MID(sheet1.DOB,7,4))=1960, IF(INT(MID(sheet1.DOB,4,2))<4,IF(MID(sheet1.ResidentialStatus1,1,3)=""NRI"",BI21,BI21),BG19),BI21)),VALUE(IncD.Section80DB)),TOTAL_INCOME)",TO_IMPLEMENT,
Income Details,visible,BI20,,"IF( OR(MID(SELECT80DB,1,1) =""("", MID(SELECT80DB,1,1)=""""),0,MID(SELECT80DB,1,1))",TO_IMPLEMENT,
Income Details,visible,BI21,,"IF(BI20=""3"",100000,IF(BI20=""1"",50000,IF(BI20=""2"",50000,0)))",TO_IMPLEMENT,
Income Details,visible,BM21,,"IF(BK7<59,1,IF(AND(BK7>=59,BK7<=79),2,3))",TO_IMPLEMENT,
Income Details,visible,BM22,,"IF( OR(MID(SELECT80DDS,1,1) =""("", MID(SELECT80DDS,1,1)=""""),0,MID(SELECT80DDS,1,1))",TO_IMPLEMENT,
Income Details,visible,BG46,,"IF(AND(INT(MID(sheet1.DOB,4,2))=4,INT(MID(sheet1.DOB,1,2))=1),BM46,BM46)",TO_IMPLEMENT,
