row	A	B	C	D	E	F
2		Section 80C	Deduction in respect of life insurance premia, deferred annuity, contributions to provident fund etc. under section 80C
3			Sl. No.	Nature of payment	Amount eligible for deduction u/s 80C	Policy number or Document Identification number
4				(i)	(i)	(ii)
5			1
6			2
7			3
8			4
10			Total of Deduction u/s 80C			0
16		Section 80CCC	Payment in respect Pension Fund
17			Sl. No.	Name of the insurer	Policy document number	Deduction u/s 80CCC     
18				(i)	(ii)	(iii)
19			1
20			2
21			3
22			4
24			Total of "Deduction u/s 80CCC"			0
