row	A	B
1	ABHY	ABHYUDAYA COOPERATIVE BANK LIMITED
2	ABPB	ADITYA BIRLA IDEA PAYMENTS BANK
3	ADCB	ABU DHABI COMMERCIAL BANK
4	ADCC	THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
5	AIRP	AIRTEL PAYMENTS BANK LIMITED
6	AJHC	AMBARNATH JAIHIND COOP BANK LTD AMBARNATH
7	AKJB	AKOLA JANATA COMMERCIAL COOPERATIVE BANK
8	ALLA	ALLAHABAD BANK
9	AMCB	AHMEDABAD MERCANTILE COOPERATIVE BANK
10	AMDN	AHMEDNAGAR MERCHANTS CO-OP BANK LTD
11	ANDB	ANDHRA BANK
12	ANZB	AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
13	APBL	THE ANDHRA PRADESH STATE COOPERATIVE BANK LIMITED
14	APGB	ANDHRA PRAGATHI GRAMEENA BANK
15	APGV	ANDHRA PRADESH GRAMEENA VIKAS BANK
16	APMC	THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED
17	ASBL	APNA SAHAKARI BANK LIMITED
18	AUBL	AU SMALL FINANCE BANK LIMITED
19	AUCB	ALMORA URBAN COOPERATIVE BANK LIMITED
20	BACB	BASSEIN CATHOLIC COOPERATIVE BANK LIMITED
21	BARA	THE BARAMATI SAHAKARI BANK LTD
22	BARB	BANK OF BARODA
23	BARC	BARCLAYS BANK
24	BBKM	BANK OF BAHARAIN AND KUWAIT BSC
25	BCBM	BHARAT COOPERATIVE BANK MUMBAI LIMITED
26	BCEY	BANK OF CEYLON
27	BDBL	BANDHAN BANK LIMITED
28	BKDN	DENA BANK
29	BKID	BANK OF INDIA
30	BNPA	B N P PARIBAS
31	BNSB	BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE
32	BOFA	BANK OF AMERICA
33	BOTM	MUFG BANK, LTD
34	CBIN	CENTRAL BANK OF INDIA
35	CCBL	CITIZEN CREDIT COOPERATIVE BANK LIMITED
36	CHAS	JP MORGAN BANK
37	CITI	CITI BANK
38	CIUB	CITY UNION BANK LIMITED
39	CLBL	CAPITAL SMALL FINANCE BANK LIMITED
40	CNRB	CANARA BANK
41	CORP	CORPORATION BANK
42	COSB	THE COSMOS CO OPERATIVE BANK LIMITED
43	CRES	CREDIT SUISEE AG
44	CRLY	CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CALYON BANK
45	CRUB	SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED
46	CSBK	CATHOLIC SYRIAN BANK LIMITED
47	CTCB	CHINATRUST COMMERCIAL BANK LIMITED
48	DBSS	DBS BANK INDIA LIMITED
49	DBSS	DEVELOPMENT BANK OF SINGAPORE
50	DCBL	DCB BANK LIMITED
51	DEOB	DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD
52	DEUT	DEUSTCHE BANK
53	DICG	DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATION
54	DLSC	THE DELHI STATE COOPERATIVE BANK LIMITED
55	DLXB	DHANALAKSHMI BANK
56	DMKJ	DMK JAOLI BANK
57	DNSB	DOMBIVLI NAGARI SAHAKARI BANK LIMITED
58	DOHB	DOHA BANK QSC
59	DOHB	DOHA BANK
60	DURG	DURGAPUR STEEL PEOPLES CO-OPERATIVE BANK LTD
61	EBIL	EMIRATES NBD BANK P J S C
62	EIBI	EXPORT IMPORT BANK OF INDIA
63	ESFB	EQUITAS SMALL FINANCE BANK LIMITED
64	ESMF	ESAF SMALL FINANCE BANK LIMITED
65	FDRL	FEDERAL BANK
66	FINO	FINO PAYMENTS BANK
67	FIRN	FIRSTRAND BANK LIMITED
68	FSFB	FINCARE SMALL FINANCE BANK LTD
69	GBCB	THE GREATER BOMBAY COOPERATIVE BANK LIMITED
70	GDCB	THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK LIMITED
71	GSCB	THE GUJARAT STATE COOPERATIVE BANK LIMITED
72	HARC	HARYANA STATE COOPERATIVE BANK
73	HCBL	THE HASTI COOP BANK LTD
74	HDFC	HDFC BANK
75	HPSC	HIMACHAL PRADESH STATE COOPERATIVE BANK LTD
76	HSBC	HSBC BANK
77	HVBK	WOORI BANK
78	IBBK	PT BANK MAYBANK INDONESIA TBK
79	IBKL	IDBI BANK
80	IBKO	INDUSTRIAL BANK OF KOREA
81	ICBK	INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
82	ICIC	ICICI BANK LIMITED
83	IDFB	IDFC First Bank Ltd
84	IDIB	INDIAN BANK
85	IDUK	IDUKKI DISTRICT CO OPERATIVE BANK LTD
86	INDB	INDUSIND BANK
87	IOBA	INDIAN OVERSEAS BANK
88	IPOS	INDIA POST PAYMENT BANK
89	ITBL	Irinjalakuda Town Co-Operative Bank Ltd
90	JAKA	JAMMU AND KASHMIR BANK LIMITED
91	JANA	JANASEVA SAHAKARI BANK LIMITED
92	JASB	JANASEVA SAHAKARI BANK BORIVLI LIMITED
93	JIOP	JIO PAYMENTS BANK LIMITED
94	JJSB	JALGAON JANATA SAHAKARI BANK LIMITED
95	JPCB	THE JALGAON PEOPELS COOPERATIVE BANK LIMITED
96	JSBL	JANAKALYAN SAHAKARI BANK LIMITED
97	JSBP	JANATA SAHAKARI BANK LIMITED
98	JSFB	JANA SMALL FINANCE BANK LTD
99	KACE	THE KANGRA CENTRAL COOPERATIVE BANK LIMITED
100	KAIJ	KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK LIMITED
